CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.363636,0.388055,0.155218,0.515152,0.500000,0.015625,0.596771
0.345455,0.301623,0.103038,0.242424,0.300000,0.022776,0.377438
0.727273,0.738802,0.568692,0.757576,0.700000,0.188702,0.198155
0.454545,0.533573,0.396301,0.515152,0.550000,0.178531,0.146362
0.545455,0.552233,0.482827,0.545455,0.525000,0.142127,0.231076
0.545455,0.570894,0.223910,0.878788,0.775000,0.044471,0.370937
0.272727,0.458955,0.284676,0.484848,0.500000,0.097356,0.213672
0.545455,0.720141,0.396301,0.606061,0.650000,0.107299,0.259174
0.636364,0.944018,0.827609,0.757576,0.800000,0.248798,0.213672
0.363636,0.410114,0.271466,0.393939,0.500000,0.016668,0.838750
0.363636,0.244807,0.145310,0.212121,0.225000,0.005192,0.887188
0.727273,0.235078,0.129458,0.333333,0.325000,0.107822,0.099602
0.363636,0.347017,0.077279,0.454545,0.400000,0.006836,0.596771
0.454545,0.570894,0.655218,0.545455,0.600000,0.525240,0.056406
0.818182,0.123128,0.103038,0.030303,0.100000,0.078125,0.126232
0.363636,0.224736,0.081242,0.303030,0.250000,0.001325,0.822604
