Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kW· h/m3),FPI,TPI,PR(mm/r)
"1,3",20,"471,41 ","6,53 ","0,19","0,23","8,75 ","2015,00 ","325,00 ","15,38 "
"1,4",15,"465,33 ","6,53 ","0,16","0,21","12,51 ","2856,00 ","466,67 ","10,71 "
"1,3",14,"501,82 ","8,48 ","0,17","0,23","16,15 ","3064,29 ","603,57 ","10,77 "
"1,4",10,"471,41 ","7,18 ","0,18","0,22","20,56 ","4340,00 ","770,00 ","7,14 "
"1,4",10,"486,62 ","7,18 ","0,17","0,21","20,56 ","4480,00 ","770,00 ","7,14 "
"1,3",18,"501,82 ","7,18 ","0,18","0,2","10,68 ","2383,33 ","397,22 ","13,85 "
"1,3",15,"547,45 ","9,79 ","0,18","0,22","17,39 ","3120,00 ","650,00 ","11,54 "
"1,3",14,"539,84 ","7,83 ","0,19","0,21","14,93 ","3296,43 ","557,14 ","10,77 "
"1,3",20,"441,00 ","5,22 ","0,18","0,21","7,02 ","1885,00 ","260,00 ","15,38 "
"1,3",12,"479,01 ","5,22 ","0,17","0,21","11,63 ","3412,50 ","433,33 ","9,23 "
"1,3",28,"425,79 ","6,14 ","0,18","0,21","5,91 ","1300,00 ","218,21 ","21,54 "
"1,3",20,"501,82 ","6,53 ","0,2","0,26","8,76 ","2145,00 ","325,00 ","15,38 "
"1,3",35,"441,00 ","8,48 ","0,15","0,2","6,53 ","1077,14 ","241,43 ","26,92 "
"1,3",10,"486,62 ","7,83 ","0,16","0,22","20,83 ","4160,00 ","780,00 ","7,69 "
"1,3",15,"593,07 ","13,05 ","0,18","0,24","23,16 ","3380,00 ","866,67 ","11,54 "
"1,3",10,"547,45 ","11,75 ","0,19","0,23","31,19 ","4680,00 ","1170,00 ","7,69 "
"1,3",12,"471,41 ","11,10 ","0,17","0,19","24,56 ","3358,33 ","920,83 ","9,23 "
"1,3",15,"486,62 ","11,10 ","0,17","0,22","19,68 ","2773,33 ","736,67 ","11,54 "
"1,3",15,"456,20 ","9,01 ","0,18","0,23","15,99 ","2600,00 ","598,00 ","11,54 "
"1,3",12,"517,03 ","9,79 ","0,18","0,22","21,70 ","3683,33 ","812,50 ","9,23 "
"1,3",18,"456,20 ","8,48 ","0,19","0,22","12,58 ","2166,67 ","469,44 ","13,85 "
"1,3",14,"460,77 ","10,31 ","0,17","0,22","19,59 ","2813,57 ","733,57 ","10,77 "
"1,3",20,"448,60 ","10,44 ","0,18","0,24","13,92 ","1917,50 ","520,00 ","15,38 "
"1,3",20,"410,58 ","10,18 ","0,18","0,22","13,56 ","1755,00 ","507,00 ","15,38 "
"1,3",12,"486,62 ","8,62 ","0,18","0,22","19,10 ","3466,67 ","715,00 ","9,23 "
"1,3",15,"456,20 ","7,83 ","0,19","0,23","13,92 ","2600,00 ","520,00 ","11,54 "
"1,3",18,"410,58 ","9,14 ","0,19","0,21","13,53 ","1950,00 ","505,56 ","13,85 "
"1,3",12,"456,20 ","9,14 ","0,19","0,23","20,24 ","3250,00 ","758,33 ","9,23 "
"1,3",23,"402,98 ","8,88 ","0,21","0,24","10,31 ","1497,83 ","384,35 ","17,69 "
"1,3",30,"448,60 ","6,53 ","0,19","0,21","5,87 ","1278,33 ","216,67 ","23,08 "
"1,3",20,"433,39 ","9,79 ","0,21","0,23","13,05 ","1852,50 ","487,50 ","15,38 "
"1,3",28,"395,38 ","9,01 ","0,21","0,24","8,61 ","1207,14 ","320,36 ","21,54 "
"1,3",20,"425,79 ","8,48 ","0,18","0,22","11,33 ","1820,00 ","422,50 ","15,38 "
"1,3",27,"402,98 ","7,70 ","0,2","0,23","7,65 ","1275,93 ","284,07 ","20,77 "
"1,3",15,"410,58 ","7,70 ","0,19","0,22","13,68 ","2340,00 ","511,33 ","11,54 "
"1,3",15,"433,39 ","6,53 ","0,18","0,21","11,62 ","2470,00 ","433,33 ","11,54 "
"1,3",8,"430,35 ","7,18 ","0,17","0,19","23,83 ","4598,75 ","893,75 ","6,15 "
"1,4",13,"501,82 ","7,83 ","0,17","0,22","17,28 ","3553,85 ","646,15 ","9,29 "
"1,3",8,"539,84 ","7,70 ","0,17","0,21","25,58 ","5768,75 ","958,75 ","6,15 "
"1,3",18,"494,22 ","7,70 ","0,17","0,2","11,44 ","2347,22 ","426,11 ","13,85 "
"1,3",12,"517,03 ","9,79 ","0,18","0,2","21,70 ","3683,33 ","812,50 ","9,23 "
"1,3",17,"456,20 ","9,27 ","0,17","0,19","14,53 ","2294,12 ","542,94 ","13,08 "
"1,3",20,"448,60 ","7,31 ","0,18","0,19","9,78 ","1917,50 ","364,00 ","15,38 "
"1,3",23,"448,60 ","9,01 ","0,17","0,21","10,47 ","1667,39 ","390,00 ","17,69 "
"1,3",25,"410,58 ","9,14 ","0,17","0,21","9,77 ","1404,00 ","364,00 ","19,23 "
