CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
0.272727,0.596774,0.443241,0.303247,0.515152,0.575,0.650451
0.272727,0.758065,0.485831,0.392857,0.515152,0.625,0.82533
0.272727,0.596774,0.528527,0.398052,0.484848,0.6,0.650451
0.363636,0.645161,0.496404,0.305195,0.515152,0.5,0.645209
0.363636,0.919355,0.496404,0.313636,0.545455,0.575,0.91927
0.363636,0.83871,0.496404,0.317532,0.545455,0.575,0.83875
0.363636,0.596774,0.514382,0.364286,0.515152,0.55,0.596771
0.272727,0.596774,0.519302,0.372078,0.515152,0.575,0.650451
0.318182,0.435484,0.555778,0.405195,0.515152,0.6,0.454812
0.363636,0.435484,0.606541,0.435714,0.515152,0.625,0.435521
0.363636,0.403226,0.667262,0.516883,0.727273,0.6,0.403229
0.363636,0.306452,0.676263,0.559091,0.757576,0.625,0.306354
0.363636,0.274194,0.640284,0.669481,0.666667,0.625,0.274062
0.363636,0.225806,0.66207,0.669481,0.606061,0.55,0.225834
0.363636,0.16129,0.674015,0.690909,0.606061,0.525,0.16125
0.363636,0.193548,0.36505,0.368831,0.393939,0.475,0.193542
0.272727,0.16129,0.730219,0.516883,0.575758,0.45,0.178654
0.363636,0.193548,0.766186,0.618831,0.393939,0.45,0.193542
0.363636,0.16129,0.710857,0.701299,0.484848,0.475,0.16125
0.363636,0.16129,0.757197,0.745455,0.545455,0.475,0.16125
0.363636,0.145161,0.735789,0.672078,0.606061,0.5,0.145104
0.545455,0.145161,0.712229,0.661039,0.636364,0.5,0.119312
0.545455,0.112903,0.784175,0.669481,0.606061,0.5,0.091424
0.363636,0.112903,0.711709,0.821429,0.575758,0.625,0.112812
0.454545,0.080645,0.749994,0.830519,0.636364,0.625,0.071294
0.090909,0.096774,0.586328,0.161039,0.69697,0.65,0.140281
0.272727,0.096774,0.661833,0.299351,0.545455,0.65,0.108828
0.363636,0.112903,0.604317,0.305195,0.575758,0.5,0.112812
0.363636,0.080645,0.739633,0.411688,0.606061,0.65,0.08052
0.363636,0.048387,0.749994,0.406494,0.606061,0.625,0.048438
0.363636,0.112903,0.730219,0.533766,0.545455,0.575,0.112812
0.454545,0.241935,0.640284,0.41039,0.545455,0.6,0.22122
0.363636,0.112903,0.69424,0.38961,0.666667,0.65,0.112812
0.818182,0.129032,0.658273,0.322078,0.545455,0.575,0.079681
0.363636,0.112903,0.69424,0.38961,0.757576,0.7,0.112812
0.545455,0.112903,0.622306,0.448701,0.333333,0.475,0.091424
0.545455,0.112903,0.595328,0.533766,0.484848,0.525,0.091424
0.363636,0.112903,0.658273,0.491558,0.606061,0.525,0.112812
0.545455,0.112903,0.622306,0.491558,0.545455,0.55,0.091424
0.454545,0.177419,0.676263,0.542208,0.666667,0.575,0.16125
0.363636,0.112903,0.730219,0.618831,0.575758,0.475,0.112812
0.181818,0.112903,0.559349,0.023377,0.606061,0.5,0.142168
0.545455,0.145161,0.56835,0.347403,0.424242,0.575,0.119312
0.363636,0.129032,0.532371,0.152597,0.515152,0.6,0.128958
0.363636,0.112903,0.613306,0.516883,0.575758,0.525,0.112812
0.363636,0.145161,0.640284,0.508442,0.757576,0.5,0.145104
0.363636,0.145161,0.622306,0.559091,0.757576,0.625,0.145104
0.545455,0.112903,0.586328,0.533766,0.606061,0.575,0.091424
0.545455,0.129032,0.588125,0.533766,0.727273,0.6,0.105263
0.545455,0.145161,0.56835,0.584416,0.636364,0.575,0.119312
0.545455,0.112903,0.56835,0.423377,0.606061,0.65,0.091424
0.454545,0.177419,0.557552,0.533766,0.636364,0.575,0.16125
0.545455,0.145161,0.586328,0.491558,0.606061,0.5,0.119312
0.545455,0.16129,0.615103,0.555844,0.666667,0.6,0.133361
0.545455,0.16129,0.586328,0.533766,0.606061,0.625,0.133361
0.545455,0.16129,0.604317,0.567532,0.666667,0.7,0.133361
0.454545,0.193548,0.586328,0.491558,0.666667,0.675,0.176138
0.545455,0.16129,0.593519,0.35974,0.818182,0.65,0.133361
0.545455,0.274194,0.519787,0.431818,0.69697,0.575,0.231076
0.545455,0.112903,0.604317,0.491558,0.636364,0.65,0.091424
0.545455,0.080645,0.613306,0.423377,0.757576,0.725,0.063326
0.545455,0.129032,0.640284,0.533766,0.666667,0.55,0.105263
0.363636,0.193548,0.532371,0.10974,0.606061,0.55,0.193542
0.363636,0.193548,0.532371,0.135714,0.636364,0.575,0.193542
0.363636,0.112903,0.496404,0.152597,0.606061,0.625,0.112812
0.545455,0.112903,0.56835,0.237013,0.666667,0.7,0.091424
0.545455,0.112903,0.640284,0.406494,0.636364,0.575,0.091424
0.363636,0.145161,0.604317,0.559091,0.606061,0.6,0.145104
0.363636,0.080645,0.703241,0.618831,0.606061,0.7,0.08052
0.454545,0.080645,0.676263,0.237013,0.757576,0.625,0.071294
0.545455,0.080645,0.730219,0.63961,0.606061,0.65,0.063326
0.363636,0.112903,0.69424,0.533766,0.575758,0.575,0.112812
0.363636,0.112903,0.640284,0.575974,0.606061,0.6,0.112812
0.363636,0.080645,0.604317,0.533766,0.636364,0.625,0.08052
0.363636,0.16129,0.606115,0.495455,0.606061,0.65,0.16125
0.363636,0.080645,0.622306,0.483117,0.606061,0.625,0.08052
0.363636,0.145161,0.595328,0.474675,0.606061,0.6,0.145104
0.363636,0.193548,0.532371,0.491558,0.606061,0.575,0.193542
0.363636,0.193548,0.56835,0.491558,0.606061,0.6,0.193542
0.363636,0.112903,0.604317,0.635714,0.575758,0.575,0.112812
0.363636,0.080645,0.658273,0.575974,0.606061,0.6,0.08052
0.272727,0.048387,0.730219,0.406494,0.606061,0.625,0.056406
0.363636,0.032258,0.748196,0.194805,0.606061,0.625,0.032292
0.363636,0.080645,0.712229,0.491558,0.606061,0.625,0.08052
0.272727,0.112903,0.604317,0.448701,0.575758,0.6,0.126232
0.363636,0.112903,0.532371,0.406494,0.575758,0.575,0.112812
0.363636,0.096774,0.658273,0.406494,0.575758,0.625,0.096666
0.363636,0.193548,0.604317,0.406494,0.606061,0.575,0.193542
0.363636,0.129032,0.604317,0.491558,0.575758,0.6,0.128958
0.363636,0.096774,0.640284,0.448701,0.606061,0.575,0.096666
0.363636,0.096774,0.676263,0.364286,0.575758,0.525,0.096666
0.363636,0.080645,0.658273,0.10974,0.606061,0.55,0.08052
0.363636,0.112903,0.631295,0.135714,0.545455,0.6,0.112812
0.727273,0.112903,0.460426,0.194805,0.121212,0.1,0.074858
0.727273,0.145161,0.298557,0.237013,0.0,0.025,0.099602
0.545455,0.112903,0.235612,0.10974,0.0,0.025,0.091424
0.636364,0.145161,0.226623,0.194805,0.0,0.025,0.108828
0.727273,0.145161,0.190645,0.186364,0.060606,0.15,0.099602
0.636364,0.129032,0.208634,0.126623,0.030303,0.075,0.095827
0.727273,0.112903,0.190645,0.10974,0.0,0.2,0.074858
0.727273,0.112903,0.190645,0.126623,0.030303,0.225,0.074858
0.727273,0.064516,0.199645,0.135714,0.0,0.3,0.037953
0.727273,0.112903,0.190645,0.152597,0.0,0.3,0.074858
0.727273,0.112903,0.208634,0.152597,0.0,0.3,0.074858
0.727273,0.145161,0.181656,0.194805,0.0,0.35,0.099602
0.727273,0.112903,0.185251,0.211688,0.060606,0.4,0.074858
0.727273,0.145161,0.26259,0.279221,0.030303,0.4,0.099602
0.727273,0.112903,0.226623,0.211688,0.0,0.425,0.074858
0.727273,0.080645,0.223016,0.192208,0.030303,0.4,0.050325
0.818182,0.080645,0.235612,0.152597,0.0,0.375,0.044663
0.727273,0.112903,0.221218,0.152597,0.0,0.4,0.074858
0.727273,0.112903,0.28058,0.237013,0.0,0.375,0.074858
0.727273,0.032258,0.28058,0.194805,0.0,0.075,0.01321
0.727273,0.145161,0.199645,0.237013,0.0,0.1,0.099602
0.727273,0.112903,0.181656,0.14026,0.0,0.1,0.074858
0.727273,0.080645,0.181656,0.152597,0.030303,0.125,0.050325
0.727273,0.145161,0.201443,0.194805,0.0,0.1,0.099602
0.727273,0.112903,0.199645,0.133117,0.0,0.075,0.074858
0.636364,0.145161,0.298557,0.262338,0.181818,0.175,0.108828
0.727273,0.112903,0.244601,0.237013,0.090909,0.175,0.074858
0.363636,0.193548,0.514382,0.661039,0.484848,0.525,0.193542
0.636364,0.16129,0.478415,0.491558,0.545455,0.475,0.122038
0.545455,0.112903,0.496404,0.533766,0.454545,0.3,0.091424
0.363636,0.112903,0.478415,0.322078,0.545455,0.55,0.112812
0.545455,0.048387,0.496404,0.559091,0.484848,0.575,0.035437
0.636364,0.032258,0.370503,0.126623,0.484848,0.475,0.017194
0.545455,0.145161,0.226623,0.262338,0.454545,0.125,0.119312
0.636364,0.064516,0.244601,0.237013,0.0,0.25,0.043405
0.727273,0.080645,0.334536,0.152597,0.0,0.3,0.050325
0.636364,0.064516,0.28058,0.237013,0.0,0.275,0.043405
