CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.363636,0.316747,0.223377,0.333333,0.45,0.017234,0.709583
0.272727,0.242011,0.286364,0.333333,0.425,0.019044,0.807717
0.272727,0.299894,0.275325,0.30303,0.425,0.019449,0.772908
0.363636,0.40647,0.296753,0.424242,0.425,0.03122,0.596771
0.363636,0.424814,0.37013,0.393939,0.475,0.03164,0.709583
0.363636,0.414725,0.357143,0.393939,0.5,0.044044,0.532187
0.363636,0.449923,0.396104,0.424242,0.5,0.045731,0.564479
0.363636,0.460426,0.347403,0.575758,0.425,0.05431,0.435521
0.363636,0.442448,0.305195,0.545455,0.425,0.019422,0.83875
0.363636,0.460426,0.364286,0.484848,0.4,0.018386,1.0
0.363636,0.403797,0.284416,0.393939,0.45,0.024901,0.677501
0.363636,0.395364,0.283766,0.393939,0.5,0.017627,0.83875
0.345455,0.355435,0.255844,0.363636,0.425,0.013821,0.885301
0.272727,0.365322,0.22987,0.333333,0.4,0.011014,0.91256
0.272727,0.366056,0.263636,0.333333,0.45,0.01362,0.91256
0.363636,0.397481,0.279221,0.484848,0.525,0.020488,0.758021
0.454545,0.440651,0.279221,0.515152,0.55,0.023189,0.700356
0.363636,0.45683,0.296753,0.515152,0.55,0.022049,0.758021
0.363636,0.451437,0.320779,0.393939,0.5,0.017822,0.91927
0.272727,0.443241,0.303247,0.515152,0.575,0.02844,0.650451
0.272727,0.485831,0.392857,0.515152,0.625,0.027434,0.82533
0.272727,0.528527,0.398052,0.484848,0.6,0.038481,0.650451
0.363636,0.496404,0.305195,0.515152,0.5,0.028929,0.645209
0.363636,0.496404,0.313636,0.545455,0.575,0.017237,0.91927
0.363636,0.496404,0.317532,0.545455,0.575,0.020488,0.83875
0.363636,0.514382,0.364286,0.515152,0.55,0.039024,0.596771
0.272727,0.519302,0.372078,0.515152,0.575,0.035752,0.650451
0.318182,0.555778,0.405195,0.515152,0.6,0.0602,0.454812
0.363636,0.606541,0.435714,0.515152,0.625,0.067914,0.435521
0.363636,0.667262,0.516883,0.727273,0.6,0.087108,0.403229
0.363636,0.676263,0.559091,0.757576,0.625,0.123725,0.306354
0.363636,0.640284,0.669481,0.666667,0.625,0.162927,0.274062
0.363636,0.66207,0.669481,0.606061,0.55,0.194329,0.225834
0.363636,0.674015,0.690909,0.606061,0.525,0.266101,0.16125
0.363636,0.36505,0.368831,0.393939,0.475,0.129783,0.193542
0.272727,0.730219,0.516883,0.575758,0.45,0.187647,0.178654
0.363636,0.766186,0.618831,0.393939,0.45,0.206505,0.193542
0.363636,0.710857,0.701299,0.484848,0.475,0.269854,0.16125
0.363636,0.757197,0.745455,0.545455,0.475,0.285553,0.16125
0.363636,0.735789,0.672078,0.606061,0.5,0.282441,0.145104
0.545455,0.712229,0.661039,0.636364,0.5,0.323077,0.119312
0.545455,0.784175,0.669481,0.606061,0.5,0.395122,0.091424
0.363636,0.711709,0.821429,0.575758,0.625,0.41042,0.112812
0.454545,0.749994,0.830519,0.636364,0.625,0.563227,0.071294
0.090909,0.586328,0.161039,0.69697,0.65,0.088762,0.140281
0.272727,0.661833,0.299351,0.545455,0.65,0.175003,0.108828
0.363636,0.604317,0.305195,0.575758,0.5,0.172683,0.112812
0.363636,0.739633,0.411688,0.606061,0.65,0.280829,0.08052
0.363636,0.749994,0.406494,0.606061,0.625,0.37561,0.048438
0.363636,0.730219,0.533766,0.545455,0.575,0.278049,0.112812
0.454545,0.640284,0.41039,0.545455,0.6,0.12655,0.22122
0.363636,0.69424,0.38961,0.666667,0.65,0.211707,0.112812
0.818182,0.658273,0.322078,0.545455,0.575,0.230973,0.079681
0.363636,0.69424,0.38961,0.757576,0.7,0.211707,0.112812
0.545455,0.622306,0.448701,0.333333,0.475,0.278049,0.091424
0.545455,0.595328,0.533766,0.484848,0.525,0.323077,0.091424
0.363636,0.658273,0.491558,0.606061,0.525,0.258537,0.112812
0.545455,0.622306,0.491558,0.545455,0.55,0.300563,0.091424
0.454545,0.676263,0.542208,0.666667,0.575,0.213508,0.16125
0.363636,0.730219,0.618831,0.575758,0.475,0.317073,0.112812
0.181818,0.559349,0.023377,0.606061,0.5,0.034236,0.142168
0.545455,0.56835,0.347403,0.424242,0.575,0.18424,0.119312
0.363636,0.532371,0.152597,0.515152,0.6,0.091797,0.128958
0.363636,0.613306,0.516883,0.575758,0.525,0.270244,0.112812
0.363636,0.640284,0.508442,0.757576,0.5,0.219512,0.145104
0.363636,0.622306,0.559091,0.757576,0.625,0.239024,0.145104
0.545455,0.586328,0.533766,0.606061,0.575,0.323077,0.091424
0.545455,0.588125,0.533766,0.727273,0.6,0.292377,0.105263
0.545455,0.56835,0.584416,0.636364,0.575,0.289306,0.119312
0.545455,0.56835,0.423377,0.606061,0.65,0.26454,0.091424
0.454545,0.557552,0.533766,0.636364,0.575,0.210507,0.16125
0.545455,0.586328,0.491558,0.606061,0.5,0.24803,0.119312
0.545455,0.615103,0.555844,0.666667,0.6,0.254148,0.133361
0.545455,0.586328,0.533766,0.606061,0.625,0.245142,0.133361
0.545455,0.604317,0.567532,0.666667,0.7,0.258999,0.133361
0.454545,0.586328,0.491558,0.666667,0.675,0.181487,0.176138
0.545455,0.593519,0.35974,0.818182,0.65,0.174139,0.133361
0.545455,0.519787,0.431818,0.69697,0.575,0.127205,0.231076
0.545455,0.604317,0.491558,0.636364,0.65,0.300563,0.091424
0.545455,0.613306,0.423377,0.757576,0.725,0.334334,0.063326
0.545455,0.640284,0.533766,0.666667,0.55,0.292377,0.105263
0.363636,0.532371,0.10974,0.606061,0.55,0.050408,0.193542
0.363636,0.532371,0.135714,0.636364,0.575,0.058212,0.193542
0.363636,0.496404,0.152597,0.606061,0.625,0.102439,0.112812
0.545455,0.56835,0.237013,0.666667,0.7,0.165478,0.091424
0.545455,0.640284,0.406494,0.636364,0.575,0.255535,0.091424
0.363636,0.604317,0.559091,0.606061,0.6,0.239024,0.145104
0.363636,0.703241,0.618831,0.606061,0.7,0.4,0.08052
0.454545,0.676263,0.237013,0.757576,0.625,0.195497,0.071294
0.545455,0.730219,0.63961,0.606061,0.65,0.477863,0.063326
0.363636,0.69424,0.533766,0.575758,0.575,0.278049,0.112812
0.363636,0.640284,0.575974,0.606061,0.6,0.297561,0.112812
0.363636,0.604317,0.533766,0.636364,0.625,0.35122,0.08052
0.363636,0.606115,0.495455,0.606061,0.65,0.196998,0.16125
0.363636,0.622306,0.483117,0.606061,0.625,0.321951,0.08052
0.363636,0.595328,0.474675,0.606061,0.6,0.206505,0.145104
0.363636,0.532371,0.491558,0.606061,0.575,0.167481,0.193542
0.363636,0.56835,0.491558,0.606061,0.6,0.167481,0.193542
0.363636,0.604317,0.635714,0.575758,0.575,0.324878,0.112812
0.363636,0.658273,0.575974,0.606061,0.6,0.37561,0.08052
0.272727,0.730219,0.406494,0.606061,0.625,0.345591,0.056406
0.363636,0.748196,0.194805,0.606061,0.625,0.258537,0.032292
0.363636,0.712229,0.491558,0.606061,0.625,0.326829,0.08052
0.272727,0.604317,0.448701,0.575758,0.6,0.219512,0.126232
0.363636,0.532371,0.406494,0.575758,0.575,0.219512,0.112812
0.363636,0.658273,0.406494,0.575758,0.625,0.245529,0.096666
0.363636,0.604317,0.406494,0.606061,0.575,0.141463,0.193542
0.363636,0.604317,0.491558,0.575758,0.6,0.233702,0.128958
0.363636,0.640284,0.448701,0.606061,0.575,0.267209,0.096666
0.363636,0.676263,0.364286,0.575758,0.525,0.223847,0.096666
0.363636,0.658273,0.10974,0.606061,0.55,0.107317,0.08052
0.363636,0.631295,0.135714,0.545455,0.6,0.094634,0.112812
0.727273,0.460426,0.194805,0.121212,0.1,0.163977,0.074858
0.727273,0.298557,0.237013,0.0,0.025,0.155473,0.099602
0.545455,0.235612,0.10974,0.0,0.025,0.097936,0.091424
0.636364,0.226623,0.194805,0.0,0.025,0.125454,0.108828
0.727273,0.190645,0.186364,0.060606,0.15,0.129957,0.099602
0.636364,0.208634,0.126623,0.030303,0.075,0.103259,0.095827
0.727273,0.190645,0.10974,0.0,0.2,0.112946,0.074858
0.727273,0.190645,0.126623,0.030303,0.225,0.123152,0.074858
0.727273,0.199645,0.135714,0.0,0.3,0.189493,0.037953
0.727273,0.190645,0.152597,0.0,0.3,0.138462,0.074858
0.727273,0.208634,0.152597,0.0,0.3,0.138462,0.074858
0.727273,0.181656,0.194805,0.0,0.35,0.134208,0.099602
0.727273,0.185251,0.211688,0.060606,0.4,0.174184,0.074858
0.727273,0.26259,0.279221,0.030303,0.4,0.176735,0.099602
0.727273,0.226623,0.211688,0.0,0.425,0.174184,0.074858
0.727273,0.223016,0.192208,0.030303,0.4,0.206718,0.050325
0.818182,0.235612,0.152597,0.0,0.375,0.187992,0.044663
0.727273,0.221218,0.152597,0.0,0.4,0.138462,0.074858
0.727273,0.28058,0.237013,0.0,0.375,0.189493,0.074858
0.727273,0.28058,0.194805,0.0,0.075,0.342589,0.01321
0.727273,0.199645,0.237013,0.0,0.1,0.155473,0.099602
0.727273,0.181656,0.14026,0.0,0.1,0.131317,0.074858
0.727273,0.181656,0.152597,0.030303,0.125,0.176735,0.050325
0.727273,0.201443,0.194805,0.0,0.1,0.134208,0.099602
0.727273,0.199645,0.133117,0.0,0.075,0.126724,0.074858
0.636364,0.298557,0.262338,0.181818,0.175,0.157472,0.108828
0.727273,0.244601,0.237013,0.090909,0.175,0.189493,0.074858
0.363636,0.514382,0.661039,0.484848,0.525,0.219512,0.193542
0.636364,0.478415,0.491558,0.545455,0.475,0.243989,0.122038
0.545455,0.496404,0.533766,0.454545,0.3,0.323077,0.091424
0.363636,0.478415,0.322078,0.545455,0.55,0.180488,0.112812
0.545455,0.496404,0.559091,0.484848,0.575,0.570732,0.035437
0.636364,0.370503,0.126623,0.484848,0.475,0.244728,0.017194
0.545455,0.226623,0.262338,0.454545,0.125,0.146717,0.119312
0.636364,0.244601,0.237013,0.0,0.25,0.259824,0.043405
0.727273,0.334536,0.152597,0.0,0.3,0.176735,0.050325
0.636364,0.28058,0.237013,0.0,0.275,0.259824,0.043405
0.636364,0.298557,0.322078,0.0,0.15,0.2522,0.069616
1.0,0.244601,0.067532,0.0,0.2,0.105441,0.056406
0.818182,0.226623,0.22013,0.0,0.25,0.190694,0.068148
0.727273,0.26259,0.194805,0.0,0.225,0.20863,0.050325
0.818182,0.296759,0.211688,0.030303,0.25,0.185291,0.068148
1.0,0.298557,0.237013,0.0,0.275,0.225516,0.056406
0.818182,0.244601,0.126623,0.0,0.3,0.131257,0.068148
0.818182,0.28058,0.194805,0.0,0.275,0.174484,0.068148
0.818182,0.28058,0.152597,0.0,0.25,0.21694,0.033131
0.818182,0.40647,0.152597,0.0,0.075,0.147467,0.068148
1.0,0.307558,0.141558,0.030303,0.125,0.20075,0.035437
1.0,0.253601,0.10974,0.0,0.1,0.172983,0.035437
1.0,0.312951,0.126623,0.0,0.075,0.132731,0.06689
0.909091,0.185251,0.126623,0.0,0.1,0.125361,0.072971
1.0,0.190645,0.114935,0.0,0.075,0.103595,0.087859
1.0,0.182732,0.067532,0.0,0.075,0.13546,0.035437
0.909091,0.26259,0.152597,0.0,0.05,0.127955,0.084085
0.818182,0.316546,0.322078,0.272727,0.3,0.210507,0.091424
0.545455,0.298557,0.322078,0.242424,0.3,0.15855,0.133361
0.818182,0.244601,0.194805,0.0,0.075,0.174484,0.068148
0.727273,0.28058,0.152597,0.0,0.2,0.176735,0.050325
0.818182,0.172667,0.135714,0.0,0.075,0.111445,0.091424
0.909091,0.208634,0.22013,0.060606,0.1,0.182397,0.072971
0.818182,0.190645,0.169481,0.0,0.075,0.158274,0.068148
0.909091,0.190645,0.152597,0.0,0.05,0.156473,0.061858
1.0,0.208634,0.115584,0.151515,0.225,0.178236,0.035437
0.909091,0.241005,0.211688,0.030303,0.125,0.196398,0.061858
0.909091,0.226623,0.152597,0.0,0.1,0.156473,0.061858
0.727273,0.28058,0.203247,0.030303,0.05,0.444653,0.000839
0.818182,0.316546,0.237013,0.0,0.1,0.417636,0.009855
0.909091,0.235612,0.152597,0.0,0.1,0.19925,0.039841
0.545455,0.275174,0.277273,0.060606,0.125,0.168345,0.105263
0.636364,0.298557,0.194805,0.0,0.1,0.172149,0.069616
1.0,0.28058,0.152597,0.0,0.1,0.210507,0.035437
1.0,0.224826,0.138961,0.0,0.125,0.174817,0.045922
