CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.636364,0.944018,0.827609,0.757576,0.800000,0.292786,0.213672
0.363636,0.410114,0.271466,0.393939,0.500000,0.019615,0.838750
0.363636,0.244807,0.145310,0.212121,0.225000,0.006110,0.887188
0.727273,0.235078,0.129458,0.333333,0.325000,0.126885,0.099602
0.363636,0.347017,0.077279,0.454545,0.400000,0.008045,0.596771
0.454545,0.570894,0.655218,0.545455,0.600000,0.618105,0.056406
0.818182,0.123128,0.103038,0.030303,0.100000,0.091938,0.126232
0.363636,0.224736,0.081242,0.303030,0.250000,0.001559,0.822604
0.545455,0.361935,0.071334,0.454545,0.375000,0.004806,0.664500
0.272727,0.347017,0.094452,0.484848,0.475000,0.008133,0.650451
0.363636,0.375002,0.163804,0.393939,0.425000,0.019537,0.596771
0.545455,0.776111,0.568692,0.878788,0.850000,0.151344,0.301111
0.727273,0.533573,0.180978,0.727273,0.700000,0.143455,0.111973
0.545455,0.645524,0.810436,0.696970,0.750000,0.554455,0.091424
0.545455,0.598879,0.439234,0.787879,0.800000,0.153996,0.231076
0.636364,0.776111,0.482827,0.818182,0.875000,0.311644,0.108828
0.545455,0.925370,0.741083,0.666667,0.750000,0.335219,0.161250
0.272727,0.259959,0.079921,0.303030,0.300000,0.005152,0.685469
0.363636,0.496264,0.324306,0.454545,0.500000,0.772277,0.000000
0.363636,0.513060,0.441876,0.484848,0.450000,0.281789,0.112812
0.454545,0.701493,0.741083,0.606061,0.700000,0.394155,0.131264
0.818182,0.184704,0.163804,0.212121,0.075000,0.121641,0.126232
0.545455,0.514925,0.551519,0.484848,0.575000,0.671146,0.035437
0.454545,0.272387,0.051519,0.393939,0.400000,0.003614,0.625498
0.363636,0.776111,0.982827,0.606061,0.675000,0.570014,0.112812
1.000000,0.263063,0.094452,0.000000,0.100000,0.202617,0.035437
0.272727,0.841416,0.655218,0.878788,0.825000,0.236209,0.213672
0.545455,0.813432,0.663804,0.606061,0.500000,0.464286,0.091424
0.272727,0.384326,0.124835,0.424242,0.475000,0.016163,0.563221
0.727273,0.171637,0.172391,0.000000,0.100000,0.138833,0.111973
0.454545,0.552233,0.138045,0.848485,0.825000,0.130127,0.101279
0.818182,0.197757,0.155218,0.000000,0.075000,0.185290,0.068148
0.363636,0.375002,0.146631,0.545455,0.450000,0.017238,0.596771
0.381818,0.285649,0.215324,0.242424,0.275000,0.027097,0.586915
0.454545,0.272387,0.005945,0.424242,0.400000,0.002405,0.475781
0.545455,0.608203,0.913474,0.727273,0.775000,0.405941,0.161250
0.454545,0.253727,0.060106,0.484848,0.400000,0.007603,0.550640
0.636364,0.738802,0.482827,0.757576,0.850000,0.245640,0.148249
0.272727,0.322762,0.266843,0.424242,0.350000,0.057992,0.388341
0.363636,0.757462,0.525760,0.545455,0.575000,0.326379,0.112812
0.636364,0.757462,0.551519,0.696970,0.700000,0.275813,0.148249
0.545455,0.617539,0.525760,0.484848,0.525000,0.379420,0.091424
0.363636,0.328356,0.090489,0.393939,0.450000,0.009770,0.596771
0.545455,0.235078,0.249670,0.454545,0.125000,0.171676,0.119312
0.454545,0.514925,0.353369,0.515152,0.525000,0.253890,0.101279
0.454545,0.291048,0.034346,0.545455,0.450000,0.003890,0.550640
0.545455,0.524249,0.564729,0.515152,0.575000,0.403289,0.091424
0.363636,0.367530,0.232497,0.515152,0.525000,0.038727,0.483749
0.636364,0.664172,0.301849,0.666667,0.725000,0.144689,0.174460
0.545455,0.832080,0.741083,0.848485,0.825000,0.570958,0.077375
0.272727,0.580218,0.439234,0.454545,0.500000,0.375633,0.073810
0.363636,0.514925,0.612285,0.515152,0.550000,0.242104,0.193542
0.272727,0.925370,0.482827,0.636364,0.875000,0.229137,0.161250
0.818182,0.179109,0.120872,0.000000,0.075000,0.130127,0.091424
0.363636,0.440295,0.491413,0.454545,0.475000,0.232673,0.161250
0.363636,0.468280,0.310436,0.575758,0.525000,0.058228,0.435521
0.727273,0.160449,0.077279,0.000000,0.075000,0.154438,0.050325
0.727273,0.272387,0.180978,0.000000,0.225000,0.244607,0.050325
0.545455,0.272387,0.266843,0.000000,0.125000,0.180516,0.119312
0.363636,0.464550,0.430647,0.333333,0.325000,0.226779,0.145104
0.727273,0.617539,0.500000,0.727273,0.675000,0.414427,0.074858
0.454545,0.477604,0.361955,0.515152,0.575000,0.092504,0.326064
0.636364,0.794771,0.784676,0.818182,0.850000,0.575672,0.082617
0.363636,0.981339,0.366579,0.727273,0.800000,0.198048,0.145104
0.363636,0.272387,0.008587,0.424242,0.425000,0.004597,0.435521
0.363636,0.347017,0.160502,0.454545,0.375000,0.024431,0.516041
0.545455,0.421634,0.241083,0.303030,0.450000,0.260078,0.063326
0.272727,0.141788,0.085865,0.121212,0.275000,0.027903,0.335919
0.272727,0.179109,0.111625,0.181818,0.325000,0.031425,0.353533
0.363636,0.369395,0.111625,0.575758,0.450000,0.014275,0.564479
0.545455,0.552233,0.310436,0.787879,0.775000,0.128950,0.203187
0.454545,1.000000,0.500000,0.909091,0.950000,0.427157,0.071294
0.545455,0.585813,0.370542,0.757576,0.800000,0.132779,0.231076
0.818182,0.141788,0.138045,0.000000,0.075000,0.140736,0.091424
0.272727,0.412310,0.500000,0.454545,0.500000,0.321075,0.108828
0.363636,0.283576,0.068692,0.363636,0.350000,0.004088,0.677501
0.909091,0.197757,0.138045,0.000000,0.050000,0.183168,0.061858
0.818182,0.309696,0.138045,0.151515,0.225000,0.220297,0.044663
0.545455,0.837687,0.665786,0.787879,0.725000,0.304102,0.161250
0.454545,0.350747,0.068692,0.454545,0.400000,0.005813,0.625498
0.363636,0.436565,0.379128,0.181818,0.200000,0.057790,0.516041
0.727273,0.253727,0.138045,0.000000,0.150000,0.161952,0.074858
0.636364,1.000000,0.612285,0.787879,0.775000,0.582744,0.056406
0.090909,0.608203,0.146631,0.696970,0.650000,0.103409,0.140281
0.363636,0.333951,0.068692,0.515152,0.450000,0.004088,0.677501
0.545455,0.514925,0.439234,0.454545,0.500000,0.412571,0.063326
0.363636,0.477604,0.353369,0.484848,0.500000,0.192302,0.145104
0.636364,0.850740,0.655218,0.757576,0.800000,1.000000,0.017194
0.727273,0.589555,0.508587,0.757576,0.775000,0.274162,0.136507
0.363636,0.475739,0.198151,0.363636,0.400000,0.136234,0.128958
0.363636,0.496264,0.430647,0.515152,0.550000,0.177748,0.193542
0.363636,0.916034,0.503963,0.727273,0.800000,0.259342,0.145104
0.636364,0.701493,0.310436,0.606061,0.650000,0.123055,0.213672
0.818182,0.154854,0.120872,0.000000,0.100000,0.130127,0.091424
0.363636,0.477604,0.396301,0.575758,0.575000,0.165488,0.193542
0.363636,0.378670,0.357992,0.393939,0.475000,0.151729,0.193542
0.727273,0.477604,0.180978,0.121212,0.100000,0.192008,0.074858
0.272727,0.259321,0.062748,0.393939,0.350000,0.001697,0.737891
0.727273,0.179109,0.138045,0.000000,0.075000,0.120336,0.111973
0.363636,0.776111,0.180978,0.606061,0.625000,0.303395,0.032292
0.363636,0.179109,0.085865,0.212121,0.300000,0.022475,0.387083
0.545455,0.794771,1.000000,0.636364,0.625000,0.843529,0.063326
0.454545,0.365665,0.085865,0.515152,0.425000,0.041018,0.251206
0.363636,0.356341,0.251651,0.424242,0.425000,0.014710,0.919270
0.363636,0.261198,0.174373,0.181818,0.175000,0.010237,0.838750
0.363636,0.285441,0.049538,0.424242,0.300000,0.015322,0.387083
0.545455,0.664172,0.223910,0.818182,0.700000,0.123055,0.161250
0.363636,0.274068,0.071995,0.303030,0.300000,0.006704,0.612917
0.727273,0.188433,0.125495,0.000000,0.100000,0.153536,0.074858
0.363636,0.440295,0.223910,0.606061,0.525000,0.035693,0.499895
0.454545,0.606338,0.439234,0.727273,0.750000,0.182726,0.191235
0.636364,0.757462,0.728534,0.757576,0.775000,0.446015,0.108828
0.363636,0.231336,0.000000,0.393939,0.375000,0.001726,0.467813
0.818182,0.197757,0.180978,0.000000,0.075000,0.204385,0.068148
0.636364,0.216418,0.111625,0.030303,0.075000,0.120484,0.095827
0.545455,0.458955,0.180978,0.636364,0.625000,0.167256,0.091424
0.727273,0.177232,0.107001,0.000000,0.075000,0.103688,0.111973
0.363636,0.339545,0.190225,0.242424,0.275000,0.012924,0.806458
0.363636,0.347017,0.269485,0.363636,0.275000,0.014668,0.967708
0.363636,0.421634,0.551519,0.545455,0.550000,0.160891,0.274062
0.363636,0.347017,0.120872,0.575758,0.450000,0.013791,0.596771
0.454545,0.664172,0.508587,0.545455,0.575000,0.222535,0.176138
0.363636,0.427241,0.439234,0.303030,0.400000,0.180810,0.193542
0.363636,0.458955,0.439234,0.454545,0.500000,0.066984,0.516041
0.545455,0.589555,0.336196,0.424242,0.575000,0.215877,0.119312
0.454545,0.457091,0.293263,0.575758,0.525000,0.084926,0.296079
0.363636,0.384326,0.180978,0.545455,0.525000,0.035244,0.435521
0.727273,0.347017,0.017173,0.000000,0.125000,0.101839,0.050325
