F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.298557,0.072078,0.424242,0.375,0.003277,0.017827,0.003143,0.677501
0.316546,0.101299,0.515152,0.525,0.005424,0.017944,0.005292,0.709583
0.32194,0.177922,0.484848,0.425,0.011299,0.016112,0.011122,0.758021
0.334536,0.135714,0.454545,0.45,0.012881,0.026812,0.012683,0.596771
0.33094,0.161039,0.484848,0.425,0.012429,0.021144,0.012251,0.677501
0.32194,0.161039,0.515152,0.475,0.012429,0.020222,0.012251,0.677501
0.303962,0.144156,0.515152,0.45,0.008588,0.015174,0.008462,0.741875
0.311153,0.105844,0.515152,0.425,0.00678,0.019117,0.006613,0.677501
0.334536,0.092857,0.454545,0.4,0.008023,0.026812,0.007805,0.596771
0.352158,0.069481,0.212121,0.3,0.003164,0.02332,0.002909,0.677501
0.278865,0.132468,0.272727,0.3,0.008927,0.01501,0.008856,0.693437
0.268161,0.171429,0.363636,0.3,0.008701,0.008779,0.008651,0.822604
0.316546,0.135714,0.545455,0.5,0.012881,0.024739,0.012683,0.596771
0.334536,0.13961,0.484848,0.45,0.010282,0.021513,0.01008,0.677501
0.311153,0.186364,0.363636,0.35,0.009605,0.011844,0.009489,0.83875
0.311153,0.169481,0.424242,0.4,0.008249,0.011844,0.008072,0.83875
0.294962,0.144156,0.424242,0.425,0.006102,0.010487,0.005944,0.83875
0.348918,0.161039,0.454545,0.375,0.012542,0.022988,0.012251,0.677501
0.316546,0.169481,0.484848,0.4,0.008249,0.012297,0.008072,0.83875
0.316546,0.177922,0.545455,0.45,0.014124,0.01967,0.013983,0.677501
0.30576,0.084416,0.515152,0.425,0.002712,0.014619,0.002537,0.758021
0.329131,0.135714,0.454545,0.375,0.007458,0.016776,0.00722,0.758021
0.348918,0.126623,0.454545,0.425,0.006667,0.0186,0.006439,0.758021
0.293164,0.144156,0.575758,0.375,0.008136,0.013458,0.008,0.758021
0.316546,0.169481,0.545455,0.4,0.006328,0.009532,0.006178,0.91927
0.334536,0.177922,0.393939,0.375,0.01774,0.026812,0.017561,0.596771
0.318344,0.194805,0.393939,0.4,0.031073,0.040222,0.030895,0.435521
0.316546,0.152597,0.181818,0.225,0.044068,0.070359,0.043902,0.274062
0.365109,0.448701,0.242424,0.225,0.134689,0.099634,0.134577,0.225834
0.361514,0.201299,0.393939,0.4,0.041469,0.060406,0.041249,0.354791
0.381289,0.398052,0.424242,0.225,0.215593,0.191461,0.21561,0.112812
0.388492,0.279221,0.363636,0.3,0.073446,0.086949,0.073171,0.274062
0.33094,0.381169,0.363636,0.3,0.04113,0.026397,0.040976,0.596771
0.316546,0.322078,0.393939,0.375,0.034237,0.024739,0.034146,0.596771
0.298557,0.338961,0.424242,0.375,0.030508,0.017827,0.03046,0.677501
0.336334,0.296753,0.30303,0.25,0.029266,0.024739,0.029037,0.629063
0.34712,0.194805,0.333333,0.275,0.024633,0.035285,0.02439,0.516041
0.376026,0.342857,0.151515,0.3,0.075593,0.071387,0.075335,0.318515
0.352513,0.364286,0.212121,0.375,0.083051,0.069605,0.082927,0.306354
0.352513,0.237013,0.212121,0.225,0.141582,0.17819,0.141463,0.112812
0.387605,0.36039,0.151515,0.3,0.078079,0.072707,0.077854,0.322499
0.370503,0.364286,0.151515,0.275,0.057175,0.04824,0.05691,0.435521
0.442448,0.398052,0.181818,0.175,0.077853,0.075336,0.077463,0.354791
0.420863,0.38961,0.181818,0.2,0.050395,0.045001,0.050035,0.516041
0.442448,0.391558,0.151515,0.175,0.054576,0.05201,0.05419,0.483749
0.397481,0.347403,0.060606,0.2,0.068362,0.067041,0.068098,0.354791
0.424459,0.381169,0.151515,0.125,0.074689,0.072018,0.074341,0.354791
0.401076,0.406494,0.212121,0.175,0.063729,0.05294,0.063415,0.435521
0.433448,0.364286,0.181818,0.15,0.109492,0.115501,0.109193,0.231076
0.290775,0.118182,0.242424,0.3,0.023842,0.043722,0.02373,0.377438
0.316546,0.22013,0.242424,0.225,0.02791,0.031256,0.027734,0.516041
0.264388,0.211688,0.181818,0.175,0.02339,0.020809,0.023364,0.564479
0.275376,0.228571,0.242424,0.275,0.024068,0.020621,0.023979,0.586915
0.230231,0.188961,0.151515,0.175,0.016158,0.012043,0.016246,0.650451
0.231579,0.157143,0.212121,0.175,0.008701,0.007216,0.00878,0.774166
0.251804,0.188312,0.181818,0.175,0.009718,0.006867,0.009666,0.83875
0.26259,0.169481,0.272727,0.225,0.010395,0.010638,0.010341,0.758021
0.233814,0.131169,0.272727,0.225,0.004859,0.005359,0.004878,0.83875
0.232017,0.133766,0.272727,0.225,0.00339,0.003034,0.003446,0.91927
0.230219,0.131818,0.30303,0.2,0.003277,0.002896,0.003317,0.91927
0.25385,0.1,0.333333,0.275,0.00226,0.007039,0.00226,0.83875
0.216653,0.096753,0.30303,0.25,0.00226,0.00438,0.002299,0.822604
0.217623,0.101299,0.30303,0.25,0.000904,0.001928,0.000976,0.91927
0.235612,0.144156,0.30303,0.25,0.004859,0.004145,0.004878,0.887188
0.228421,0.151299,0.30303,0.25,0.004746,0.002758,0.004812,0.91927
0.223016,0.194805,0.333333,0.3,0.00791,0.002206,0.007994,0.925142
0.233814,0.126623,0.30303,0.25,0.001582,0.001322,0.001576,1.0
0.244601,0.15,0.363636,0.3,0.004633,0.004002,0.004683,0.91927
0.216901,0.116234,0.272727,0.25,0.005424,0.006424,0.005478,0.758021
0.248397,0.182468,0.272727,0.275,0.009153,0.006582,0.009165,0.83875
0.260721,0.149351,0.272727,0.275,0.005537,0.006416,0.005505,0.877752
0.253116,0.112987,0.212121,0.2,0.010169,0.017425,0.010116,0.596771
0.28058,0.101299,0.333333,0.275,0.008814,0.020591,0.00878,0.596771
0.294962,0.212338,0.272727,0.25,0.018644,0.01865,0.01854,0.655483
0.325535,0.233117,0.242424,0.25,0.017627,0.017999,0.01748,0.725729
0.290526,0.222727,0.121212,0.225,0.024746,0.023981,0.024708,0.564479
0.295293,0.217532,0.151515,0.275,0.016158,0.015092,0.016009,0.725729
0.301372,0.244156,0.181818,0.3,0.022486,0.019928,0.022403,0.645209
0.294962,0.313636,0.242424,0.225,0.019774,0.010084,0.019686,0.850283
0.334536,0.281818,0.363636,0.275,0.013672,0.0094,0.013427,0.967708
0.334536,0.211688,0.151515,0.275,0.014463,0.017273,0.014244,0.758021
0.292064,0.244805,0.212121,0.275,0.017401,0.013356,0.017312,0.758021
0.297966,0.297403,0.212121,0.25,0.016836,0.008847,0.016771,0.895156
0.291981,0.27987,0.090909,0.2,0.018644,0.011411,0.018543,0.806458
0.316546,0.279221,0.333333,0.325,0.029379,0.024739,0.029268,0.596771
0.352513,0.330519,0.272727,0.4,0.025424,0.018932,0.025171,0.758021
0.352513,0.313636,0.272727,0.3,0.019209,0.014043,0.018912,0.871042
0.325535,0.279221,0.242424,0.275,0.022147,0.017999,0.021953,0.725729
0.277303,0.291558,0.212121,0.225,0.020565,0.010983,0.020482,0.783602
0.195553,0.181818,0.212121,0.225,0.00678,0.0,0.006895,0.930174
0.236002,0.15974,0.212121,0.225,0.006102,0.004176,0.006163,0.887188
0.318344,0.279221,0.363636,0.35,0.014802,0.00967,0.014634,0.91927
0.336334,0.253896,0.272727,0.25,0.013785,0.012154,0.013626,0.887188
0.327333,0.203896,0.242424,0.275,0.01209,0.014488,0.011947,0.806458
0.27851,0.249351,0.393939,0.425,0.013559,0.007845,0.013538,0.877752
0.316192,0.214286,0.363636,0.45,0.012429,0.012776,0.012269,0.82533
0.316546,0.211688,0.484848,0.425,0.01435,0.015614,0.014244,0.758021
0.352513,0.211688,0.454545,0.425,0.008588,0.010717,0.008285,0.967708
0.343525,0.264286,0.424242,0.425,0.013672,0.011606,0.013463,0.91927
0.316747,0.223377,0.333333,0.45,0.017401,0.017963,0.017234,0.709583
0.242011,0.286364,0.333333,0.425,0.018983,0.007019,0.019044,0.807717
0.299894,0.275325,0.30303,0.425,0.019548,0.013449,0.019449,0.772908
0.40647,0.296753,0.424242,0.425,0.031638,0.035107,0.03122,0.596771
0.424814,0.37013,0.393939,0.475,0.03209,0.028568,0.03164,0.709583
0.414725,0.357143,0.393939,0.5,0.044407,0.042386,0.044044,0.532187
0.449923,0.396104,0.424242,0.5,0.046215,0.043328,0.045731,0.564479
0.460426,0.347403,0.575758,0.425,0.054802,0.062065,0.05431,0.435521
0.442448,0.305195,0.545455,0.425,0.019887,0.022853,0.019422,0.83875
0.460426,0.364286,0.484848,0.4,0.01887,0.017401,0.018386,1.0
0.403797,0.284416,0.393939,0.45,0.025311,0.028611,0.024901,0.677501
0.395364,0.283766,0.393939,0.5,0.017966,0.018905,0.017627,0.83875
0.355435,0.255844,0.363636,0.425,0.014124,0.013738,0.013821,0.885301
0.365322,0.22987,0.333333,0.4,0.011299,0.01352,0.011014,0.91256
0.366056,0.263636,0.333333,0.45,0.013898,0.013577,0.01362,0.91256
0.397481,0.279221,0.484848,0.525,0.020904,0.02308,0.020488,0.758021
0.440651,0.279221,0.515152,0.55,0.023616,0.030749,0.023189,0.700356
0.45683,0.296753,0.515152,0.55,0.022599,0.028554,0.022049,0.758021
0.451437,0.320779,0.393939,0.5,0.018305,0.0199,0.017822,0.91927
0.443241,0.303247,0.515152,0.575,0.028927,0.034713,0.02844,0.650451
0.485831,0.392857,0.515152,0.625,0.028023,0.02722,0.027434,0.82533
0.528527,0.398052,0.484848,0.6,0.039209,0.043789,0.038481,0.650451
0.496404,0.305195,0.515152,0.5,0.029492,0.040845,0.028929,0.645209
0.496404,0.313636,0.545455,0.575,0.017853,0.023356,0.017237,0.91927
0.496404,0.317532,0.545455,0.575,0.02113,0.027378,0.020488,0.83875
0.514382,0.364286,0.515152,0.55,0.039661,0.047549,0.039024,0.596771
0.519302,0.372078,0.515152,0.575,0.036384,0.042808,0.035752,0.650451
0.555778,0.405195,0.515152,0.6,0.060904,0.072968,0.0602,0.454812
0.606541,0.435714,0.515152,0.625,0.068814,0.084526,0.067914,0.435521
0.667262,0.516883,0.727273,0.6,0.088136,0.102057,0.087108,0.403229
0.676263,0.559091,0.757576,0.625,0.124633,0.137471,0.123725,0.306354
0.640284,0.669481,0.666667,0.625,0.163729,0.145011,0.162927,0.274062
0.66207,0.669481,0.606061,0.55,0.195141,0.180195,0.194329,0.225834
0.674015,0.690909,0.606061,0.525,0.266893,0.246302,0.266101,0.16125
0.36505,0.368831,0.393939,0.475,0.129944,0.115687,0.129783,0.193542
0.730219,0.516883,0.575758,0.45,0.188701,0.244155,0.187647,0.178654
0.766186,0.618831,0.393939,0.45,0.207571,0.239017,0.206505,0.193542
0.710857,0.701299,0.484848,0.475,0.270734,0.259376,0.269854,0.16125
0.757197,0.745455,0.545455,0.475,0.286441,0.275812,0.285553,0.16125
0.735789,0.672078,0.606061,0.5,0.283277,0.29231,0.282441,0.145104
0.712229,0.661039,0.636364,0.5,0.323842,0.330046,0.323077,0.119312
0.784175,0.669481,0.606061,0.5,0.395932,0.438515,0.395122,0.091424
0.711709,0.821429,0.575758,0.625,0.411073,0.343843,0.41042,0.112812
0.749994,0.830519,0.636364,0.625,0.563729,0.493866,0.563227,0.071294
0.586328,0.161039,0.69697,0.65,0.089492,0.241428,0.088762,0.140281
0.661833,0.299351,0.545455,0.65,0.175819,0.329604,0.175003,0.108828
0.604317,0.305195,0.575758,0.5,0.173333,0.294315,0.172683,0.112812
0.739633,0.411688,0.606061,0.65,0.281695,0.451126,0.280829,0.08052
0.749994,0.406494,0.606061,0.625,0.376384,0.616425,0.37561,0.048438
0.730219,0.533766,0.545455,0.575,0.27887,0.352378,0.278049,0.112812
0.640284,0.41039,0.545455,0.6,0.127458,0.177623,0.12655,0.22122
0.69424,0.38961,0.666667,0.65,0.212542,0.335789,0.211707,0.112812
0.658273,0.322078,0.545455,0.575,0.231751,0.407192,0.230973,0.079681
0.69424,0.38961,0.757576,0.7,0.212542,0.335789,0.211707,0.112812
0.622306,0.448701,0.333333,0.475,0.278644,0.352378,0.278049,0.091424
0.595328,0.533766,0.484848,0.525,0.323503,0.338022,0.323077,0.091424
0.658273,0.491558,0.606061,0.525,0.259209,0.319199,0.258537,0.112812
0.622306,0.491558,0.545455,0.55,0.30113,0.352378,0.300563,0.091424
0.676263,0.542208,0.666667,0.575,0.21435,0.247099,0.213508,0.16125
0.730219,0.618831,0.575758,0.475,0.317853,0.352378,0.317073,0.112812
0.559349,0.023377,0.606061,0.5,0.035028,0.228277,0.034236,0.142168
0.56835,0.347403,0.424242,0.575,0.184859,0.266241,0.18424,0.119312
0.532371,0.152597,0.515152,0.6,0.092429,0.235498,0.091797,0.128958
0.613306,0.516883,0.575758,0.525,0.270847,0.298463,0.270244,0.112812
0.640284,0.508442,0.757576,0.5,0.220226,0.255607,0.219512,0.145104
0.622306,0.559091,0.757576,0.625,0.239661,0.248695,0.239024,0.145104
0.586328,0.533766,0.606061,0.575,0.323503,0.333236,0.323077,0.091424
0.588125,0.533766,0.727273,0.6,0.292881,0.301914,0.292377,0.105263
0.56835,0.584416,0.636364,0.575,0.289718,0.266241,0.289306,0.119312
0.56835,0.423377,0.606061,0.65,0.264972,0.323666,0.26454,0.091424
0.557552,0.533766,0.636364,0.575,0.211073,0.204988,0.210507,0.16125
0.586328,0.491558,0.606061,0.5,0.248588,0.274217,0.24803,0.119312
0.615103,0.555844,0.666667,0.6,0.254802,0.263296,0.254148,0.133361
0.586328,0.533766,0.606061,0.625,0.24565,0.251517,0.245142,0.133361
0.604317,0.567532,0.666667,0.7,0.259548,0.258879,0.258999,0.133361
0.586328,0.491558,0.666667,0.675,0.182147,0.199458,0.181487,0.176138
0.593519,0.35974,0.818182,0.65,0.174802,0.254461,0.174139,0.133361
0.519787,0.431818,0.69697,0.575,0.127684,0.138471,0.127205,0.231076
0.604317,0.491558,0.636364,0.65,0.301017,0.342807,0.300563,0.091424
0.613306,0.423377,0.757576,0.725,0.334802,0.439711,0.334334,0.063326
0.640284,0.533766,0.666667,0.55,0.292994,0.327146,0.292377,0.105263
0.532371,0.10974,0.606061,0.55,0.051073,0.167131,0.050408,0.193542
0.532371,0.135714,0.636364,0.575,0.05887,0.167131,0.058212,0.193542
0.496404,0.152597,0.606061,0.625,0.102938,0.244547,0.102439,0.112812
0.56835,0.237013,0.666667,0.7,0.166102,0.323666,0.165478,0.091424
0.640284,0.406494,0.636364,0.575,0.256158,0.361949,0.255535,0.091424
